"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"lowerAsymptote_Intercept60",0.376025566538993,0.00247603079787903,0.371158428756026,0.380975795346543,"UD_North_Sami-Giella"
"growthRate_Intercept60",0.000787282548797053,1.10206009102781e-05,0.000765733618419282,0.000808873672834528,"UD_North_Sami-Giella"
"delta_Intercept60",0.552391266225817,0.00676890656139752,0.539337855587913,0.565893250792756,"UD_North_Sami-Giella"
"upperAsymptote_Intercept61",0.924120729883038,0.0106281623022125,0.90515632489265,0.931595610948669,"UD_Icelandic-IcePaHC"
"lowerAsymptote_Intercept61",0.0158728012390442,0.0187437741347233,0.000425239592876483,0.0489966740781837,"UD_Icelandic-IcePaHC"
"growthRate_Intercept61",1.36218762378651,2.47106262035078,0.00142564261603581,6.02267859418345,"UD_Icelandic-IcePaHC"
"delta_Intercept61",0.610286436971806,1.31784638060841,0.119282597624617,5.54847675434372,"UD_Icelandic-IcePaHC"
"upperAsymptote_Intercept62",0.899603925376762,0.00201921591437858,0.895824049627437,0.903780823940214,"UD_Japanese-GSDLUW"
"lowerAsymptote_Intercept62",0.119237711112644,0.00186870135611877,0.115541642891956,0.122959118662067,"UD_Japanese-GSDLUW"
"growthRate_Intercept62",0.0087256186254666,0.00020084305843376,0.00834341720421094,0.0091315183880262,"UD_Japanese-GSDLUW"
"delta_Intercept62",0.322109081551662,0.00621218863024784,0.309514974795985,0.334270978562375,"UD_Japanese-GSDLUW"
"upperAsymptote_Intercept63",0.956745697584862,0.00882572916006993,0.940077754079909,0.962461575987639,"UD_Galician-CTG"
"lowerAsymptote_Intercept63",0.36359786880992,0.0117979079865185,0.333988247874704,0.38688260007171,"UD_Galician-CTG"
"growthRate_Intercept63",1.73194017223982,3.30435401158004,0.00294995890158366,8.85453996200088,"UD_Galician-CTG"
"delta_Intercept63",0.823789500763747,1.79628100103928,0.121565738292618,7.85997929069506,"UD_Galician-CTG"
"upperAsymptote_Intercept64",0.957290672225116,0.00472290991071398,0.946999476537799,0.962146997992721,"UD_Italian-ISDT"
"lowerAsymptote_Intercept64",0.016932491706626,0.0197850049461624,0.000284692503718807,0.0455780711451367,"UD_Italian-ISDT"
"growthRate_Intercept64",1.30726911870027,2.33707134420127,0.00118915117870739,5.2642097933028,"UD_Italian-ISDT"
"delta_Intercept64",0.611240098218134,1.07165943519725,0.121927968564927,4.20842823843898,"UD_Italian-ISDT"
"upperAsymptote_Intercept65",0.881996425078509,0.00101216825731422,0.880036857068981,0.884006451460254,"UD_Hungarian-Szeged"
"lowerAsymptote_Intercept65",0.354646077978573,0.00297569643853324,0.34860320380645,0.360495288207575,"UD_Hungarian-Szeged"
"growthRate_Intercept65",0.000829050466915281,1.14103212024438e-05,0.000806699054004633,0.000852347390919724,"UD_Hungarian-Szeged"
"delta_Intercept65",0.577584829123198,0.00682655342493027,0.56433324340529,0.591459985909559,"UD_Hungarian-Szeged"
"upperAsymptote_Intercept66",0.949207875991924,0.000534376300179256,0.948175170940631,0.950269068188624,"UD_Norwegian-Bokmaal"
"lowerAsymptote_Intercept66",0.0955568062398336,0.00565369494060857,0.08479619895013,0.107032985968302,"UD_Norwegian-Bokmaal"
"growthRate_Intercept66",0.00206643508374837,5.68042551128841e-05,0.0019578699692115,0.00218094308498341,"UD_Norwegian-Bokmaal"
"delta_Intercept66",0.348116469527387,0.0040862400734062,0.340071508211118,0.356249317565194,"UD_Norwegian-Bokmaal"
"upperAsymptote_Intercept67",0.925401750830597,0.000821502864917825,0.923791825280527,0.927025451710201,"UD_Danish-DDT"
