"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"growthRate_Intercept5",0.000479631985101098,8.27225410264173e-06,0.000463812747475373,0.000496058138390373,"UD_Basque-BDT"
"delta_Intercept5",0.397979800038606,0.00397153406345287,0.390310372864394,0.405639496404988,"UD_Basque-BDT"
"upperAsymptote_Intercept6",0.942259518847907,0.0148182477713833,0.913628937241012,0.951678422501166,"UD_Slovenian-SSJ"
"lowerAsymptote_Intercept6",0.363053787937034,0.0238009881115124,0.314923447835108,0.430122596610105,"UD_Slovenian-SSJ"
"growthRate_Intercept6",1.24106055491077,2.56195516624626,0.000583414051054246,8.85839598564594,"UD_Slovenian-SSJ"
"delta_Intercept6",1.54254920140893,2.47421185173034,0.370385102451972,8.98447174881891,"UD_Slovenian-SSJ"
"upperAsymptote_Intercept7",0.920309457150067,0.000879472135199285,0.918654525305953,0.922083412442678,"UD_English-EWT"
"lowerAsymptote_Intercept7",0.31710647880913,0.00378100652035146,0.309696618101479,0.324589196689455,"UD_English-EWT"
"growthRate_Intercept7",0.00061292970104357,1.28944617831951e-05,0.000587605584998534,0.00063855179887433,"UD_English-EWT"
"delta_Intercept7",0.329371236951078,0.00335083190130256,0.322819607461493,0.335980731746351,"UD_English-EWT"
"upperAsymptote_Intercept8",0.94870303614972,0.000827058704135781,0.947141478544605,0.950346092677465,"UD_Persian-PerDT"
"lowerAsymptote_Intercept8",0.507792587070331,0.00329460991645612,0.501340304152828,0.514226206646924,"UD_Persian-PerDT"
"growthRate_Intercept8",0.000722695877939732,1.91180581350583e-05,0.000686329528941614,0.000760292637352899,"UD_Persian-PerDT"
"delta_Intercept8",0.311551910874871,0.0039354974355936,0.303930490837961,0.319434494835828,"UD_Persian-PerDT"
"upperAsymptote_Intercept9",0.961193207721621,0.00198149471936325,0.957589066200089,0.965419265289701,"UD_Manx-Cadhan"
"lowerAsymptote_Intercept9",0.684368514079474,0.00264563164001792,0.679073052776874,0.689640034536111,"UD_Manx-Cadhan"
"growthRate_Intercept9",0.00196743209852828,7.1463446272311e-05,0.00182669892400498,0.00211116637750412,"UD_Manx-Cadhan"
"delta_Intercept9",0.508908754396186,0.0179466598543417,0.472900023435191,0.544552488499276,"UD_Manx-Cadhan"
"upperAsymptote_Intercept10",0.938820572025064,0.00337040173854201,0.932680776583372,0.945932873558335,"UD_Italian-MarkIT"
"lowerAsymptote_Intercept10",0.5064330464823,0.00374306619827042,0.49894723008173,0.513655810278771,"UD_Italian-MarkIT"
"growthRate_Intercept10",0.000676754146696719,2.61565729591835e-05,0.000624558256268392,0.000727259457568585,"UD_Italian-MarkIT"
"delta_Intercept10",0.418387921303798,0.0099473725044871,0.398840215786934,0.438009296442074,"UD_Italian-MarkIT"
"upperAsymptote_Intercept11",0.922477227927581,0.0134314777322058,0.899342572645262,0.931257590435539,"UD_Western_Armenian-ArmTDP"
"lowerAsymptote_Intercept11",0.429939297252665,0.00670926545862131,0.421049661352489,0.43818233320022,"UD_Western_Armenian-ArmTDP"
"growthRate_Intercept11",0.748196968709436,1.32649518141771,0.000490825263401877,2.94964365249715,"UD_Western_Armenian-ArmTDP"
"delta_Intercept11",0.388404080647507,0.574989320547494,0.113807941230525,0.424378114918033,"UD_Western_Armenian-ArmTDP"
"upperAsymptote_Intercept12",0.92066994227101,0.00234785248173743,0.916202211062843,0.925552296199889,"UD_Maltese-MUDT"
"lowerAsymptote_Intercept12",0.346533726676066,0.00387305850466889,0.339032485985572,0.354109055861904,"UD_Maltese-MUDT"
"growthRate_Intercept12",0.000926833198751206,2.14764711577815e-05,0.000885614836095456,0.000969991090192108,"UD_Maltese-MUDT"
"delta_Intercept12",0.45443927094968,0.00782317686063512,0.439057436079444,0.470277004867121,"UD_Maltese-MUDT"
"upperAsymptote_Intercept13",0.847900080902969,0.049423221111807,0.745019282829406,0.909642946519601,"UD_Erzya-JR"
"lowerAsymptote_Intercept13",0.42182883314139,0.026203610884596,0.361933546691296,0.478682557018558,"UD_Erzya-JR"
"growthRate_Intercept13",0.569398060439732,1.86738744206479,0.000434172008711802,7.89187521455566,"UD_Erzya-JR"
"delta_Intercept13",1.03900311146272,1.72705744687947,0.405631228915067,7.81014392565328,"UD_Erzya-JR"
"upperAsymptote_Intercept14",0.962917128699678,0.00104862791879016,0.960901342641357,0.965065542860447,"UD_French-Sequoia"
"lowerAsymptote_Intercept14",0.4301990968346,0.00371528558826232,0.422920304624277,0.437608716880971,"UD_French-Sequoia"
"growthRate_Intercept14",0.000711097761686899,1.44531009628388e-05,0.000682681598187903,0.000739603982176606,"UD_French-Sequoia"
"delta_Intercept14",0.422357350114401,0.00536084992494282,0.411922648627464,0.433035078248651,"UD_French-Sequoia"
"upperAsymptote_Intercept15",0.904375874696452,0.00126622405176794,0.901955306234422,0.906900245044874,"UD_Slovenian-SST"
"lowerAsymptote_Intercept15",0.201723565864839,0.00657015157676887,0.189137360355161,0.214591344601399,"UD_Slovenian-SST"
"growthRate_Intercept15",0.00119835523812071,3.85907433280199e-05,0.00112424312591963,0.00127536750691613,"UD_Slovenian-SST"
"delta_Intercept15",0.377445913009508,0.00650179588508116,0.36480867025125,0.390420740789056,"UD_Slovenian-SST"
"upperAsymptote_Intercept16",0.920395328182423,0.0182431335018708,0.888511616347338,0.93198401827068,"UD_Swedish-LinES"
"lowerAsymptote_Intercept16",0.291754046844833,0.00928318032243331,0.286731879206862,0.297727721461197,"UD_Swedish-LinES"
"growthRate_Intercept16",0.161368750036793,1.02335344508792,0.00109546172234935,1.94598124555948,"UD_Swedish-LinES"
"delta_Intercept16",1.61982020056626,2.22289870519448,0.368565973457188,5.41187721153503,"UD_Swedish-LinES"
"upperAsymptote_Intercept17",0.911321005741251,0.00043890019406707,0.910469746164843,0.912198100987939,"UD_German-GSD"
"lowerAsymptote_Intercept17",0.252526999987038,0.00284550601429132,0.246959232301143,0.258129040941069,"UD_German-GSD"
"growthRate_Intercept17",0.000855744456241932,1.25661415578402e-05,0.000831900055651637,0.000881118158817599,"UD_German-GSD"
"delta_Intercept17",0.345748604788562,0.00227814235502983,0.34120372080191,0.35019896309593,"UD_German-GSD"
"upperAsymptote_Intercept18",0.904379330204191,0.0011832792517505,0.902132034259498,0.906721535650243,"UD_Icelandic-GC"
"lowerAsymptote_Intercept18",0.330498852833886,0.00558274169180686,0.319444259944931,0.341479736300786,"UD_Icelandic-GC"
